"business_id","address_id","name","phone","email","disabled",
"1","0","Logic Design","01359 245030","hello@simon.co.uk","N",
"2","18","Big Earth","0207 657 2727","office@bigearth.co.uk","N",
"3","0","Nicola Sexton","01284 760011","info@nicolasexton.co.uk","Y",
"6","10","Display World","01284 345345","hello@displayworld.co.uk","N",
"9","0","Reason Marketing","01284 456 456","howie@reason.co.uk","N",
"11","0","Finns Freelancer","01284 345345","finn@finn.co.uk","N",
"12","12","Kats Designs","01284 345 345","kat@logicdesign.co.uk","N",
"15","13","Waitrose","10","finn@finn.co.uk","N",
"18","19","Logic Two","01284 345 345","finn@finn.co.uk","Y",
"19","0","Logic Two","10","finn@finn.co.uk","Y",
"20","0","fdgfdgsd","fsdfdsf","fddsf","Y",
"21","14","John Lewis","0184 706842","john@lewis.com","N",
"22","15","John Lewis","0184 706842","john@lewis.com","N",
"23","16","Simon Fletcher Designs","10","hello@logicdesign.co.uk","N",
"24","0","David Fulcher","01284 345778","david@logicdesign.co.uk","N",
"25","17","David Fulcher - 2","01284 345 345","david@logicdesign.co.uk","N",
"26","20","Sam Hunt Artistry","01284 706842","sam@hunt.co.uk","Y",
"27","21","NHS","01284 706842","hello@nhs.co.uk","N",
"28","22","NHS 2 ","01284 706842","hello@nhs.co.uk","N",
"29","23","Sam Hunt Artistry","01284 706842","sam@hunt.co.uk","N",
"30","24","NHS 2","01284 706842","hello@nhs.co.uk","N",
"32","25","Adams Pottery","01284 706842","adam@pottery.co.uk","Y",
